type, size, time (microseconds)
ascending,1000,49
descending,1000,23764
random,1000,11820
20%,1000,11309
40%,1000,16613
ascending,10000,1048
descending,10000,0
random,10000,1285604
20%,10000,211
40%,10000,0
ascending,25000,2337
descending,25000,0
random,25000,4078343
20%,25000,2905251
40%,25000,0
ascending,50000,3335
descending,50000,0
random,50000,15342640
20%,50000,856969
40%,50000,0
ascending,75000,5269
descending,75000,0
random,75000,34849596
20%,75000,308630
40%,75000,0
ascending,100000,5504
descending,100000,0
random,100000,64503912
20%,100000,14930232
40%,100000,0
